text;labels
bisakahkamumembantukucarikanseseorangpenjagayangdapatmenjagarumahini;Bisakah kamu membantu ku mencarikan seseorang penjaga yang dapat menjaga rumah ini?
apakahkamubisamenjelaskanmasalayangakuselesaikandisuratini;Apakah kamu bisa menjelaskan masalah yang aku selesaikan di surat ini?
maafsebelumnyasayatidakakanbisaikutkeacarayangakanadadiakhirpekan;Maaf sebelumnya, saya tidak akan bisa ikut ke acara yang akan ada di akhir pekan.
bisakahkamumemandukankumelakukanprosesregistrasidiuniversitaskami;Bisakah kamu memandu ku melakukan proses registrasi di universitas kami?
haybukudisudahterbarukumaukamukembalikannyakelibraryasaharisebentarlagi;Hai, buku di sudah terbaru, mau kamu kembalikannya ke library asa hari sebentar lagi?
apakahakubisaberkonsultasidengankamutentangpermasalahanpribadiku;Apakah aku bisa berkonsultasi dengan kamu tentang masalah pribadi ku?
maafapakahkamumemilikirekomendasitempatyangbagusuntukberliburdisekitarini;Maaf, apakah kamu memiliki rekomendasi tempat yang bagus untuk berlibur di sekitar ini?
bisakahkamumembantukuuntukmenentukancarapemesananhoteluntukperjalananbisnisku;Bisakah kamu membantu ku untuk menentukan cara pemesanan hotel untuk perjalanan bisnis ku?
apakahkamubisamemberikansaranbagaimanacarapeningkatkankemapanfaatankamudiworkshopini;Apakah kamu bisa memberikan saran bagaimana cara meningkatkan ke manfaatan kamu di workshop ini?
hayapakahkamuterbukakakumelihatdokumentasiperjalananterbarumudisebuahaplikasipenyimpanan;Hai, apakah kamu terbuka aku melihat dokumentasi perjalanan terbaru mu di sebuah aplikasi penyimpanan?
apakahakubisatanyakanpadamuapayangkamucobasebutkandaripertanyaandiawalobrolanini;Apakah aku bisa tanyakan pada kamu apa yang kamu coba sebutkan dari pertanyaan di awal obrolan ini?
gimanakabarutuhariniapakabarkaharimusayang;Gimana kabar tuh hari ini? Apa kabar kamu? Hari mu sayang?
apakabsuratkelahiranadikiniapakahbapakudahmenerimanya;Apa kab surat kelahiran adik ini? Apakah bapak sudah menerimanya?
ayokingintahubagaimanakabarmuapakahkamusehat;Ayo, kita ingin tahu bagaimana kabarmu. Apakah kamu sehat?
beritaterkinidisebutkanbahwapemilihanumumakansegeradiselenggarakan;Berita terkini disebutkan bahwa pemilihan umum akan segera diselenggarakan.
bisakahkamumengantarkukemejosekolahnihariini;Bisakah kamu mengantarku ke mejo sekolah ini hari ini?
janganlupamengucapkanselamatulangtahunkepadatemanmu;Jangan lupa mengucapkan selamat ulang tahun kepada temanmu.
bisakahkamumemberikansaranuntukperjalananliburankelaskukemudianhari;Bisakah kamu memberikan saran untuk perjalanan liburan kelasku kemudian hari?
maafakuharusmenundatanggalpertemuanbesokkarenaterjadikendala;Maaf, aku harus menunda tanggal pertemuan besok karena terjadi kendala.
terimakasihatasbantuanmumembereskanrumahsetelahpestaberakhir;Terima kasih atas bantuanmu membereskan rumah setelah pesta berakhir.
hayapakahkamubisamengirimbkuafiledokumennanti;Hai, apakah kamu bisa mengirimkan buku file dokumen nanti?
jangankhawatirkankukamuakanmenemanimudiwisatakeindahantempatini;Jangan khawatir, aku akan menemanimu di wisata keindahan tempat ini.
bisakahkamuajakakuuntukmakanmalamdiwarungfavoritkamuhariini;Bisakah kamu ajak aku untuk makan malam di warung favorit kamu hari ini?
apakahakudapatmembantuuntukmengevaluasikinerjatimkami;Apakah aku dapat membantu untuk mengevaluasi kinerja tim kami?
jangantanyakankapanakuakanmenikahsemuaorangmulaidengantanyapertanyaanitu;Jangan tanya kapan aku akan menikah. Semua orang mulai dengan hanya pertanyaan itu.
bisakahkamumemberikankupetunjukarahmenujumuseumsenibelakangitu;Bisakah kamu memberikan petunjuk arah menuju museum seni belakang itu?
maafapakahkamubisamengantarkusampaikestasiunkeretaapi;Maaf, apakah kamu bisa mengantarku sampai ke stasiun kereta api?
apakahakumendapatkanemailterbarudaritemankudiluaranegri;Apakah aku mendapatkan email terbaru dari temanku di luar negeri?
bisakahkamumengirimmkudokumenpentingmelaluiemail;Bisakah kamu mengirimku dokumen penting melalui email?
maafapakahkamuakanmengingatkanakutentangpembayarantagihanini;Maaf, apakah kamu akan mengingatkan aku tentang pembayaran tagihan ini?
apakahkamuakanmenyediakanhidangantamasyanglengkapuntukpestaakhirpekanini;Apakah kamu akan menyediakan hidangan tama syang lengkap untuk pesta akhir pekan ini?
maafsebelumnya,apakahkauinginmengajakakukepertemuanini;Maaf sebelumnya, apakah kau ingin mengajak aku ke pertemuan ini?
bisakahkamumenjelaskankepadakulangkah-langkahuntukmenggunakanperangkatini;Bisakah kamu menjelaskan kepadaku langkah-langkah untuk menggunakan perangkat ini?
apakahkamudapatmemberikansaranterbaikuntukperjalananliburankumendatang;Apakah kamu dapat memberikan saran terbaik untuk perjalanan liburanku mendatang?
jangankhawatirkantentangapadikucapai,tetaplahfokuspadatujuankepadaankemimpiandiri;Jangan khawatir tentang apa yang aku capai, tetaplah fokus pada tujuan kepadai impian diri.
terimakasihbanyakuntukwaktudankesabaranmumendidikdanmembimbingkami;Terima kasih banyak untuk waktu dan kesabaranmu dalam mendidik dan membimbing kami.
maafjikakamarumasa,pakaimindustriperiklananterbarubegitubanyakiklanmenjurus;Maaf jika kamarku berantakan, pakai industri periklanan terbaru begitu banyak iklan menjurus.
haykamumemilikinovasisuperbagussaatmenyelenggarakanpesta;Hai, kamu memiliki inovasi super bagus saat menyelenggarakan pesta.
apakahkamupernahmengalamiperselingkuhandalamhubungankamu;Apakah kamu pernah mengalami perselingkuhan dalam hubunganmu?
bisakahkamuajakakumenyaksikanfilmterbarudimalamini;Bisakah kamu ajak aku menyaksikan film terbaru di malam ini?
janganpernahmenyerahtetaplahberusahadanberjuanguntukmenggapaiimpianmu;Jangan pernah menyerah, tetaplah berusaha dan berjuang untuk menggapai impianmu.
apakahkamubisamembantukudalammemilihhadiahterbaikuntukpertunanganini;Apakah kamu bisa membantuku dalam memilih hadiah terbaik untuk pertunangan ini?
janganlupamenyegelamkuketikakaukeluarmeninggalkankamarkos;Jangan lupa mengegelamku ketika kamu keluar meninggalkan kamar kos.
hayakusedangmengundangkamuuntukacaraselebrasiulangtahunku;Hai, aku sedang mengundang kamu untuk acara selebrasi ulang tahunku.
bisakahkamuajakakukepantaimalamini;Bisakah kamu ajak aku ke pantai malam ini?
jangandenganterusmeratapikegagalankamu,bangkitdantetaplahbersemangat;Jangan terus meratapi kegagalanmu, bangkit dan tetaplah bersemangat.
apakahkamutahumenjadwalmatakuliahkamubesarbaniinikap;Apakah kamu tahu jadwal mata kuliah kamu besar ban ini kap?
bisakahkamumemberikankurekomendasitempatmakanterbaikdiwilayahini;Bisakah kamu memberikan rekomendasi tempat makan terbaik di wilayah ini?
jangantunggusangatlamalambulanikalianbaikbaikketikaakanmemilikkumpulanpesta;Jangan tunggu sangat lama bulan ini, kalian baik-baik saja ketika akan memilikikumpulan pesta.
hayapakahkamubisamembantukudenganmenyampaikankritikdansaranuntukproyekkami;Hai, apakah kamu bisa membantuku dengan menyampaikan kritik dan saran untuk proyek kami?
bisakahkamumemintapetunjukarahdariwargadisekitaruntukmenemukankotaasalku;Bisakah kamu meminta petunjuk arah dari warga di sekitar untuk menemukan kota asalku?
apakahsudahwaktunyakamuberangkatkebandaradapatkapalperikanini;Apakah sudah waktunya kamu berangkat ke bandara dapatkah kapal perikan ini?
janganlupamenyimpankunciuntukrumahketempatyangaman;Jangan lupa menyimpan kunci untuk rumah ke tempat yang aman.
bagaimanacarapenulisanreferensibukuyangbaikdanbenar;Bagaimana cara penulisan referensi buku yang baik dan benar?
apaupdatepalingterbarumengenaiaplikasipedulikeren;Apa update paling terbaru mengenai aplikasi peduli keren?
terimakasihataspenjelasanlengkaptentangprosespembuatankontrak;Terima kasih atas penjelasan lengkap tentang proses pembuatan kontrak.
bisakahkamubantuakumendapatkantiketparkiruntukkendaraanku;Bisakah kamu membantu aku mendapatkan tiket parkir untuk kendaraanku?
apakahkamudapatmenyampaikankesuratpanggilanpentingini;Apakah kamu dapat menyampaikan ke surat panggilan penting ini?
haysebelahkuapakahkamusukaakanberbagikemudahanpadaumumnya;Hai sebelahku, apakah kamu suka akan berbagi kemudahan pada umumnya?
tanyakanpadatemansekelaskamutentangprosedurpemilihangurukelas;Tanyakan pada teman sekelas kamu tentang prosedur pemilihan guru kelas.
maafakumembelikansendalterbaruuntukkamumusimpanasudahdekati;Maaf, aku membelikan sendal terbaru untuk kamu musim panas sudah dekat ini.
apakamukamuharustetapdialamatkuuntukwaktusebentarini;Apakah kamu kamu harus tetap di alamatku untuk waktu sebentar ini?
bolehkahakumencobapakaihelicapterkamudiakarenayangcantikini;Bolehkah aku mencoba pakai helicapter kamu di akarena yang cantik ini?
janganlupamenyimpaninformasipentinguntukakunikahsebentarlagi;Jangan lupa menyimpan informasi penting untuk aku nikah sebentar lagi.
bisakahakumembantuakumembayarbiayaangsurankamubulanini;Bisakah aku membantu aku membayar biaya angsuran kamu bulan ini?
apakamukamuakanmemberikanpersembahandenganmendandaniapayangbagus;Apakah kamu kamu akan memberikan persembahan dengan mendandani apa yang bagus?
maafakusudahtelatapakahbisaakukerjaberkatadekatikantormu;Maaf, aku sudah telat, apakah bisa aku kerja berkat dekat kantormu?
janganlupamenyiapkanfilelengkapuntukpresentasikamu;Jangan lupa menyiapkan file lengkap untuk presentasi kamu.
apakahkamudapatmembantuakumencarikanrekomendasitempatmakanterbaik;Apakah kamu dapat membantu aku mencarikan rekomendasi tempat makan terbaik?
haymaafapakahkamuakumemintajadwalpertemuanbaru;Hai, maaf apakah kamu aku meminta jadwal pertemuan baru?
bisakahakumintakirimansegerauntukpemesananbarangkumalamini;Bisakah aku minta kiriman segera untuk pemesanan barangku malam ini?
apanyaplanakusetelahkamumenyelesaikantugasini;Apa yang plana aku setelah kamu menyelesaikan tugas ini?
janganbanyakbicara,lebihbaikdengarkanduluku;Jangan banyak bicara, lebih baik dengarkan dulu ku.
terimakasihataswaktudanperhatianyangtelahkamuberikan;Terima kasih atas waktu dan perhatian yang telah kamu berikan.
apakahkamumauikutberbelanjaataumemilihberistirahatdirumah;Apakah kamu mau ikut berbelanja atau memilih beristirahat di rumah?
janganlupabawaperalatanolahragamusebeldijamselanjutnya;Jangan lupa bawa peralatan olahragamu sebelum di jam selanjutnya.
bisakahkamumembantusayamemahamiprosedurpembayarantagihanini;Bisakah kamu membantu saya memahami prosedur pembayaran tagihan ini?
hayapakahkamuadapenyekelatarterbarudarimu;Hai, apakah kamu ada penyekelat terbaru darimu?
apakahbukusudahandahterjualkantempatdudukmu;Apakah buku sudah anda terjualkan tempat dudukmu?
bisakahkamumemintasaranjadwalmatakuliahuntuksemesterdepan;Bisakah kamu meminta saran jadwal mata kuliah untuk semester depan?
terimakasihatasbantuanmumengaturacaraperjalananliburanku;Terima kasih atas bantuanmu mengatur acara perjalanan liburanku.
jangankhawatirakuakantetapmenjagahalamanrumahkamuselamaakumpergi;Jangan khawatir, aku akan tetap menjaga halaman rumah kamu selama aku pergi.
apakahkamudapatmembantusayamenyelesaikantugasrumahini;Apakah kamu dapat membantu saya menyelesaikan tugas rumah ini?
haybisakamuajakakumakanmalambersamakeluargamu;Hai, bisakah kamu ajak aku makan malam bersama keluargamu?
bisakahakumeminjamhandphonekamusebentarlagi;Bisakah aku meminjam handphone kamu sebentar lagi?
apakahkamutahumengenaiterbarutentangpemutakhiranperangkatlunakini;Apakah kamu tahu mengenai terbaru tentang pemutakhiran perangkat lunak ini?
terimakasihbanyakakuakantetapmenyertaimu;Terima kasih banyak, aku akan tetap menyertaimu.
apakahkamumauikutkepertemuanteman-temanlamaini;Apakah kamu mau ikut ke pertemuan teman-teman lamaini?
jangankauwaktuterlalubanyakdalammenyelesaikantugasini;Jangan kau waktu terlalu banyak dalam menyelesaikan tugas ini.
bisakahkamumembantusayamemilihsebuahhadiahyangtepat;Bisakah kamu membantu saya memilih sebuah hadiah yang tepat?
hayapakahkamumauikutdalamkegiatandiskusikelompokkamusekarang;Hai, apakah kamu mau ikut dalam kegiatan diskusi kelompok kamu sekarang?
bolehkahakumintatolongmubantusayamenyambunglistrikdiwaktuistirahat;Bolehkah aku minta tolongmu bantu saya menyambung listrik di waktu istirahat?
janganlupamenyimpaninformasipentingdisebuahtempatyangaman;Jangan lupa menyimpan informasi penting di sebuah tempat yang aman.
apakahbukusekarangsedangdipinjamkankepadaseseoranglain;Apakah buku sekarang sedang dipinjamkan ke pada seseorang lain?
hayapakahkamubisamenjelaskankembaliinstruksipenggunaanperangkatini;Hai, apakah kamu bisa menjelaskan kembali instruksi penggunaan perangkat ini?
bisakahkamuajakakukeluaruntukmakanmalammingguini;Bisakah kamu ajak aku keluar untuk makan malam minggu ini?
terimakasihbanyakatasbantuandarimuuntukproyekpengembanganini;Terima kasih banyak atas bantuanmu untuk proyek pengembangan ini.
jangankhawatirkamusiappanduanperjalananakandapatmembantumu;Jangan khawatir, kami sappanduan perjalanan akan dapat membantumu.
apakahakupunyadoktertertentyangdapatmerekomendasikanpengobatanalternatif;Apakah aku punya dokter tertentu yang dapat merekomendasikan pengobatan alternatif?
maafapakahakubisamenanyakanpertanyaanterkaitpenjadwalanrapatbesok;Maaf, apakah aku bisa menanyakan pertanyaan terkait penjadwalan rapat besok?
bisakahkamumemintaangkasopiruntukmenujukanjalantepatmenujukebandara;Bisakah kamu meminta angka sopir untuk menujukan jalantepat menuju ke bandara?
apakahkamuhadirpadaacarapenyerahanhadiahtahunbersejarahkami;Apakah kamu hadir pada acara penyerahan hadiah tahun bersejarah kami?
hayapakahakubisaberkunjungkerumahmudisesaatini;Hai, apakah aku bisa berkunjung ke rumahmu di saat ini?
janganseriusakukakubertanyatentangbukuyangbarusajuditerbitkan;Jangan serius aku kaku bertanya tentang buku yang baru saja diterbitkan.
apakahkamuakanmengantarkupergisekolahdengankendaramudiriwangku;Apakah kamu akan mengantarku pergi sekolah dengan kendaramudiriwangku?
hayapakahkamubisamemilihfilmuntukditontonmalaminiberdua;Hai, apakah kamu bisa memilih film untuk ditonton malam ini berdua?
jangandengarsesuatuyangtidakbenardarioranglain,kamulakukanapayangterbaikbagimu;Jangan dengar sesuatu yang tidak benar dari orang lain, kamu lakukan apa yang terbaik bagimu.
bisakahkamumemberikankucarapenyimpanansebagaitempatuntukbarang-barangini;Bisakah kamu memberikanku cara penyimpanan sebagai tempat untuk barang-barang ini?
apakahkamutahumengenaiacarapendaftaranseminartersebut;Apakah kamu tahu mengenai cara pendaftaran seminar tersebut?
hayapakahakubisamemintacaramenyajikanhidangandalampestaanini;Hai, apakah aku bisa minta cara menyajikan hidangan dalam pestaan ini?
maafapakahkamumemilikilistrikcadanganyangbisaakupinjam;Maaf, apakah kamu memiliki listrik cadangan yang bisa aku pinjam?
haloapakahkamuadadisanaapakamuadamelakukanapapun;Halo, apakah kamu ada di sana? Apakah kamu ada melakukan apa pun?
maafbisakamumembantusayamenemukankantorkapoldaterdekat;Maaf, bisakah kamu membantu saya menemukan kantor kapolda terdekat?
bisakahkamuajakakumenontonfilmdiibukotaini;Bisakah kamu ajak aku menonton film di ibukota ini?
jangandiamundikauakusedangmencobamenghubungimu;Jangan diam, aku sedang mencoba menghubungimu.
terimakasihkamuteleponakuuntukmengingatkankueventersebut;Terima kasih, kamu telepon aku untuk mengingatkanku event tersebut.
haybisakamumemberikankuinfoseputarpromoistimewadiwarungkopiini;Hai, bisakah kamu memberikanku info seputar promo istimewa di warung kopi ini?
bisakahkamuajakakumenyusunrencanakeuangandankemasaekonomian;Bisakah kamu ajak aku menyusun rencana keuangan dan masa ekonomian?
maafapakahkamumelakukanpengetesancovid19sebelummengunjungirumahini;Maaf, apakah kamu melakukan pengetesan COVID-19 sebelum mengunjungi rumah ini?
apakahakudapatmeminjamtokobukusampaidenganbesokini;Apakah aku dapat meminjam toko buku sampai dengan besok ini?
haysebelumnyaterimakasihbanyakataswaktudanperhatianmu;Hai, sebelumnya, terima kasih banyak atas waktu dan perhatianmu.
apakahkamumendapatkanhadiahsaatperayaanulangtahunkamubesarini;Apakah kamu mendapatkan hadiah saat perayaan ulang tahun kamu besar ini?
jangantanyakanpertanyaanyangsudahakukatakansaatkamumelupakanjawabanku;Jangan tanyakan pertanyaan yang sudah aku katakan saat kamu melupakan jawabanku.
terimakasihkamumemberikansaranyangbermanfaatuntukpengembanganprojekkami;Terima kasih, kamu memberikan saran yang bermanfaat untuk pengembangan projek kami.
apakahkamumenghadiripersidangtegaratentangpengesahandokumenini;Apakah kamu menghadiri persidang tegara tentang pengesahan dokumen ini?
hayapakahkamutahupengumumanterkinaitentangpembatasanmobilitasdisekitarini;Hai, apakah kamu tahu pengumuman terkait pembatasan mobilitas di sekitar ini?
janganlupamengingatkusaatkamudatangkepestaolehseorangtemankamu;Jangan lupa mengingatku saat kamu datang ke pesta oleh seorang teman kamu.
apakahbukutersebutadadikotakkembaliatausudahdikembalikankeperpustakaan;Apakah buku tersebut ada di kotak kembali atau sudah dikembalikan ke perpustakaan?
jangandiamundikauakumelihatapahterbarudibidangteknologiini;Jangan diam, kamu melihat apa yang terbaru dibidang teknologi ini.
terimakasihkamumemberikaninformasitentanglokasiterbaikuntukberwisatadiarea;Terima kasih, kamu memberikan informasi tentang lokasi terbaik untuk berwisata di area ini.
apakahakuberhasilmendaftarkeacaraeskulsedangkudiuniversitaskita;Apakah aku berhasil mendaftar ke acara eskul sedang di universitas kita?
adakahbukuberbahasatentangsejarahindonesiayangmenarikuntukdibaca;Adakah buku berbahasa tentang sejarah Indonesia yang menarik untuk dibaca?
bisakahkamumembantukumemilihhadiaultahuntukseoranganantim;Bisakah kamu membantuku memilih hadiah ulang tahun untuk seorang teman?
apakahkamumenyukaihidupdikotatauwilayahpedesaanlebihbaik;Apakah kamu menyukai hidup di kota atau wilayah pedesaan lebih baik?
terimakasihatasbantuanyamemahamiprosedurpembelianbarangdionline;Terima kasih atas bantuannya memahami prosedur pembelian barang online.
maafapakahkamumemilikipaketpelajarankursusseputarteknikkomputer;Maaf, apakah kamu memiliki paket pelajaran kursus seputar teknik komputer?
jangankhawatirakuakanmemastikanpesanmuuntukkaterantarpadaalamatitu;Jangan khawatir, aku akan memastikan pesanmu terantarpada alamat itu.
apakahkamumemilikitempatparkiryangtersediadiapartemenmu;Apakah kamu memiliki tempat parkir yang tersedia di apartemenmu?
bisakahkamumemberikansaranuntukmemperbaikihubungankamudenganteman;Bisakah kamu memberikan saran untuk memperbaiki hubungan kamu dengan teman?
hayakumubisamemintalaporandarikamutentangperkembanganproyekitu;Hai, kamu bisa meminta laporan dari kamu tentang perkembangan proyek itu.
apakahkamuakansertamenyambutkanaksibesokdiingatantelponkantor;Apakah kamu akan sertamenyambutkan anak sibesok di ingatan telpon kantor?
bisakahkamuajakakuuntukmakanmalamdiluarbersamauntukmenyegarkanpikiran;Bisakah kamu ajak aku untuk makan malam diluar bersama untuk menyegarkan pikiran?
apakahkamumaukukonsultasikanwaktukelasdarimupadaprofesionalmu;Apakah kamu mauku konsultasikan waktu kelas dari kamu pada profesionalmu?
terimakasihbanyakatasbantuanmuuntukmemperbaikipresentasiterbaruku;Terima kasih banyak atas bantuannya untuk memperbaiki presentasi terbaruku.
maafapakahkamumengertibahwasuratundanganpestaakuadatertukarkansendiri;Maaf, apakah kamu mengerti bahwa surat undangan pesta aku ada tertukarkan sendiri?
bisakahkamuajakakubelanjadiareauntukmembelisecarakonsumenuntukkesukaanku;Bisakah kamu ajak aku belanja di area untuk membeli secara konsumen untuk kesukaanku?
apakahkamuakandapatmenjawabpertanyaaninimengenaiproseswawancaramanajer;Apakah kamu akan dapat menjawab pertanyaan ini mengenai proses wawancara manajer?
hayakamumenginginkantempatparkiryangtersediadiapartemeniniuntukberkunjung;Hai, kamu menginginkan tempat parkir yang tersedia di apartemen ini untuk berkunjung?
bisakahkamuajakakukepertandingansepakbolaterbarudiingatankota;Bisakah kamu ajak aku ke pertandingan sepak bola terbaru di ingatan kota?
apakahkamumemilikipaketpaketwisatakeluargayangmenarikuntukmusimliburan;Apakah kamu memiliki paket wisata keluarga yang menarik untuk musim liburan?
maafapakahakudapatmengajukanpertanyaanmuuntukpenyampaianinformasitersebut;Maaf, apakah aku dapat mengajukan pertanyaanmu untuk penyampaian informasi tersebut?
apakahkamudapatmembantusayamemperbaikikoneksiinternetdirumah;Apakah kamu dapat membantu saya memperbaiki koneksi internet di rumah?
hayakembalikankartumemberdiskoninikekasirsetelahpembayarantotal;Hai, kembalikan kartu member diskon ini ke kasir setelah pembayaran total.
beritapentingterkiniadalahpengumumanperubahanjadwalkerjaorganisasiini;Berita penting terkini adalah pengumuman perubahan jadwal kerja organisasi ini.
maafakutelatdatangkepertemuaninikarenaterjebakmacetdiperjalanan;Maaf, aku telat datang ke pertemuan ini karena terjebak macet di perjalanan.
bisakahkamuajakakumakanmalamromantismalamininidiarestoranterbaik;Bisakah kamu ajak aku makan malam romantis malam ini di restoran terbaik?
hayapak,kamudapatmembantusayadalammenemukanjalurpendakiankegunungini;Hai pak, kamu dapat membantu saya dalam menemukan jalur pendakian ke gunung ini?
apakahkamutahumengenaitentangpemutakhiranterbarudariberitadikota;Apakah kamu tahu mengenai pemutakhiran terbaru dari berita di kota?
tanyakanpadaresepsionisapakahkamudapatmenyewamotordipusatwisataterdekat;Tanyakan pada resepsionis, apakah kamu dapat menyewa motor di pusat wisata terdekat?
maafapakahakubisamengganggumuuntuksebentaragarbicarasecaramendalam;Maaf, apakah aku bisa mengganggumu untuk sebentar agar bicara secara mendalam?
beritapopulerdihariiniberkaitandenganpeluncuranprodukterbarudarimerekaterkenal;Berita populer di hari ini berkaitan dengan peluncuran produk terbaru dari merek terkenal.
apakahkamuakantetapdiaseseorangtemanselamatanperjalananini;Apakah kamu akan tetap di sampingku sebagai seorang teman selamatan perjalanan ini?
tanyakanpadadosenapakahkamubisamengulangkembaliunitperkuliahdalamsemesterdepan;Tanyakan pada dosen, apakah kamu bisa mengulang kembali unit perkuliah dalam semester depan?
beritainicampuradukmengenaituntutansiswauntukperubahandalamkurikulumsekolah;Berita ini campur aduk mengenai tuntutan siswa untuk perubahan dalam kurikulum sekolah.
apakahkamubisamenunjukkanjalantersingkatkebandaradarikampuskita;Apakah kamu bisa menunjukkan jalan tersingkat ke bandara dari kampus kita?
tanyakanpadaibudapatkahakumeminjammobilnyadalamperjalanankeluargainibulanini;Tanyakan pada ibu, apakah aku bisa meminjam mobilnya dalam perjalanan keluarga ini bulan ini?
beritaterkiniseputarkebijakanpemerintahuntukmeningkatkankualitaspelayanankesehatan;Berita terkini seputar kebijakan pemerintah untuk meningkatkan kualitas pelayanan kesehatan.
apakahkamuakandatangkepernikahanadiksebelahpenghujungminggudepanini;Apakah kamu akan datang ke pernikahan adik sebelah penghujung minggu depan ini?
tanyakankepadasatpamlapanganterdekatapakahlapanganbolaakansediauntukdigunakan;Tanyakan pada satpam lapangan terdekat, apakah lapangan bola akan sedia untuk digunakan?
beritaterkiniberkaitaneratdenganramainyapendemoantibatasanperjalanan;Berita terkini berkaitan erat dengan ramainya demo anti batasan perjalanan.
apakahkamuakanmemeriksaemailsayauntukmenyaksikantugaskelasini;Apakah kamu akan memeriksa email saya untuk menyaksikan tugas kelas ini?
akuakankemudianbertemuditengahkotakotakbukumu;Aku akan kemudian bertemu di tengah kotak-kotak bukumu.
jangandengarkankatakataorangyangtidakmembangun;Jangan dengarkan kata-kata orang yang tidak membantu.
apakahkamumenyukaiwarnabiruuntukrumahbarumu;Apakah kamu menyukai warna biru untuk rumah barumu?
bisakahkamuajakakupergiuntukmakanmalamkaliini;Bisakah kamu ajak aku pergi untuk makan malam kali ini?
terimakasihbanyakatasbantuanmu,akubenyaksenang;Terima kasih banyak atas bantuanmu, aku sangat senang.
haybagaimanakondisiterbarudalampekerjaanmu;Hai, bagaimana kondisi terbaru dalam pekerjaanmu?
maaf,apakahbukuterbaruyangsedangkubacaadadisini;Maaf, apakah buku terbaru yang sedang kubaca ada di sini?
bisakahkamumembantusayamemilihkaospolosyangbagus;Bisakah kamu membantusaya memilih kaos polos yang bagus?
apakahkamumengajarkandirikemampuankomputerini;Apakah kamu mengajarkan diri kemampuan komputer ini?
tanyakankepadaresepsionisapakahbisaterbukandimuseum;Tanyakan pada resepsionis, apakah bisa terbuka di museum?
apakahkamuakanmenghadiriperayaankeluargadisini;Apakah kamu akan menghadiri perayaan keluarga di sini?
hay,beritainiterkaitdenganperubahanjadwalkeberangkatan;Hai, berita ini terkait dengan perubahan jadwal keberangkatan.
bisakahkamumemberikankuperlumengisikannminyamotor;Bisakah kamu memberikanku perlumengisikan minyamotor?
apakahkamudapatmembantusayamemahamiartikelini;Apakah kamu dapat membantu saya memahami artikel ini?
terimakasihatasbantuanmupadapemilihanwarnarumahini;Terima kasih atas bantuanmu pada pemilihan warna rumah ini.
hayakukamuingindiajakeluaruntukberjalanjalan;Hai, aku ingin diajak keluar untuk berjalan-jalan.
apakahbukuterbarudaripenulisfavoritkutersebut;Apakah buku terbaru dari penulis favoritku tersebut?
bisakahkamuajakakumengunjungimuseumseniini;Bisakah kamu ajak aku mengunjungi museum seni ini?
apakahkamuakanmemberikankusaranfilmterbaruyangbagus;Apakah kamu akan memberikan ku saran film terbaru yang bagus?
terimakasihatasbantuanmu,akuakandatingkepesta;Terima kasih atas bantuanmu, aku akan datang ke pesta.
akuadalahseoranganindonesiayangbanggamerayakanharikemerdekaan;Aku adalah seorang warga Indonesia yang bangga merayakan Hari Kemerdekaan.
bisakahakumenggunakankonsolpermainansebentariniuntukselesaikantugas;Bisakah aku menggunakan konsol permainan sebentar ini untuk menyelesaikan tugas?
apakahkamumengetahuiapakamudapatmembantuakumencaripenyewaanmobil;Apakah kamu mengetahui apa kamu dapat membantu aku mencari penyewaan mobil?
haidiantarakamuadalahhariyangbaik-baikdisini;Hai di antara kamu adalah hari yang baik-baik disini.
bisakahkamumemberikankusarantarkebandaramalampagiini;Bisakah kamu memberikanku sarantar ke bandara malam pagi ini?
maafapakahbukusebentarlagiakanakuselahmengembalikannya;Maaf, apakah buku sebentar lagi akan aku kembalikan.
apakahkamudapatmemberikankurekomendasitempatmakanterbaikdiarea;Apakah kamu dapat memberikan rekomendasi tempat makan terbaik di area?
jangansedihakusebisaikutansaatkapantinggi;Jangan sedih, aku bisa ikutan saat kapan tinggi.
bisakahkamumengantarikemanasayamencarisebuahtokobukudiarea;Bisakah kamu mengantari kemanasaya mencari sebuah toko buku di area?
hayapakahkamujugaakanmenghadirikepestaakhirpekanini;Hai, apakah kamu juga akan menghadiri ke pesta akhir pekan ini?
bisakahakumintadukunganmumengaturacaraperayaanulangtahunkami;Bisakah aku minta dukunganmu mengatur acara perayaan ulang tahun kami?
apakahkamumengetahuitentanginformasiterkiniterkaitbandyangterkenal;Apakah kamu mengetahui tentang informasi terkini terkait band yang terkenal?
terimakasihbanyakuntukmenyediakanwaktumuuntukmembicarakanhalini;Terima kasih banyak untuk menyediakan waktumu untuk membicarakan hal ini.
bisakahkamuajakakuuntukberkelilingkotakamudiakhirpekanini;Bisakah kamu ajak aku untuk berkeliling kota kamu di akhir pekan ini?
maafapakahakudapatmenungguuntukbantuanmudalammemasangkomputerini;Maaf, apakah aku dapat menunggu untuk bantuanmu dalam memasang komputer ini?
janganlupamenyimpanyahargapusatakamuditunjukmukasubukuantersedia;Jangan lupa menyimpan harga pusat akumulasi data kamu di tunjukmu kasubukan tersedia.
hayterimakasihbanyakatasperhatianyadanperhatianmu;Hai, terima kasih banyak atas perhatianya dan perhatianmu.
bisakahakumendapatkanbantuandarimuuntukmemperbaikimobiltersesat;Bisakah aku mendapatkan bantuan darimu untuk memperbaiki mobil tersesat?
